1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-0.56391,-1.368421,-0.887218,-1.112782,-0.225564,-0.796992,-1.225564,-1.135338,-0.458647,-0.827068,-1.300752,-0.984962,-0.195489,-1.120301,-1.924812,-0.721805,-0.488722,-1.736842,-0.849624,-0.714286
-1.670282,-2.555315,-1.70282,-2.403471,-3.26898,-2.132321,-2.429501,-2.553145,-2.160521,-2.275488,-2.394794,-2.110629,-1.880694,-2.303688,-2.989154,-1.54013,-1.616052,-3.117137,-1.930586,-2.16269
-0.74552,-0.749104,-0.641577,-1.340502,-1.88172,2.11828,-0.268817,-1.480287,-0.458781,-1.512545,-1.383513,-0.602151,-0.921147,-1.405018,1.157706,-0.154122,-0.637993,-2.046595,-1.007168,-1.189964
-0.384615,-1.153846,-0.653846,-0.576923,-2.115385,-0.5,0.0,-1.038462,-1.192308,-1.538462,-1.884615,-0.5,-1.346154,-1.769231,-1.076923,-0.115385,-0.038462,-2.0,-1.307692,-1.0
-0.8125,-0.895833,-1.291667,-0.708333,-2.078125,-1.203125,-0.979167,-2.0,-0.567708,-1.828125,-1.604167,-1.182292,-0.864583,-1.364583,-3.166667,-1.276042,-1.291667,-1.833333,-1.322917,-1.630208
-0.23913,-1.775362,-0.76087,-0.963768,-2.311594,-1.108696,-1.195652,-0.992754,-1.702899,-1.536232,-1.782609,-1.413043,-1.847826,-1.673913,-1.115942,-0.072464,0.101449,-2.811594,-1.413043,-0.884058
-1.571429,-2.408163,-1.142857,-1.520408,-1.612245,-1.612245,-1.704082,-2.397959,-1.816327,-2.163265,-2.489796,-1.959184,-2.612245,-2.05102,-0.94898,-0.55102,-0.306122,-2.77551,-1.77551,-1.734694
-2.318519,-2.355556,-1.851852,-2.007407,-2.8,-1.844444,-1.42963,-2.977778,-2.177778,-1.488889,-2.466667,-0.977778,-1.377778,-2.540741,-3.785185,-1.718519,-0.637037,-3.481481,-2.614815,-1.022222
-0.578947,-1.368421,-0.819549,-1.150376,-0.12782,-0.81203,-1.270677,-1.105263,-0.466165,-0.87218,-1.323308,-0.954887,-0.285714,-1.112782,-2.06015,-0.639098,-0.466165,-1.646617,-0.804511,-0.849624
-0.333333,-0.966667,-0.666667,-1.013333,-3.04,0.253333,-0.313333,-2.226667,-1.713333,-1.053333,-1.14,-0.133333,-0.706667,-1.44,-2.16,-0.653333,-0.7,-2.986667,-1.566667,-1.166667
-0.071429,-0.857143,-1.214286,-1.571429,-1.857143,-0.357143,-0.642857,-1.357143,-1.071429,-1.5,-1.357143,-0.785714,-0.928571,-1.642857,-0.5,-0.285714,-0.5,-2.0,-0.714286,-0.857143
-0.07483,-0.585034,-1.619048,-1.510204,-1.37415,-0.653061,-0.938776,-1.095238,-1.435374,-1.360544,-1.088435,-1.163265,-0.503401,-2.0,-1.14966,-0.414966,-0.619048,-1.972789,-1.571429,-0.768707
-0.305785,-1.549587,-0.57438,-1.227273,-0.735537,-0.644628,-1.458678,-0.404959,-0.971074,-1.739669,-1.876033,-1.293388,-1.417355,-1.5,-0.677686,0.061983,-0.140496,-1.202479,-0.760331,-1.264463
